OBJECTID,EDITNOTES,Cnt_EDITNOTES
-1,Corrected ADDRESS RANGES + Added FENAME2,1
-1,Corrected ADDRESS RANGES + Added FENAME2/FETYPE2,5
-1,Corrected ADDRESS RANGES + Added FENAME2+FETYPE2,4
-1,Corrected ADDRESS RANGES + Added FETYPE,1
-1,Corrected ADDRESS RANGES + Corrected FENAME,1
-1,Corrected ADDRESS RANGES + Corrected FENAME + Added FETYPE2 + Corrected FENAME2 + Added FENAME3,1
-1,Corrected ADDRESS RANGES + REMOVE FENAME2/FETYPE2 (Has NEVER been Wiley Rd),3
-1,Corrected ADDRESS RANGES + REMOVE FENAME2/FETYPE2 + REPOSITIONED to center of realigned roadway,1
-1,Corrected ADDRESS RANGES + Repositioned at Floral Dr intersection,1
-1,Corrected ADDRESS RANGES + Repositioned at Mariette St intersection,1
-1,Corrected ADDRESS RANGES + REPOSITIONED at north end of segment,1
-1,Corrected ADDRESS RANGES + REPOSITIONED entire segment to proper location,1
-1,Corrected ADDRESS RANGES + Repositioned to proper location,1
-1,Corrected ADDRESS RANGES + Repositioned to proper location (delete extra node),1
-1,Corrected ADDRESS RANGES + Split for new road segment,2
-1,corrected address ranges and fedirp,6
-1,corrected address ranges and fedrip,2
-1,corrected address ranges and FENAME,1
-1,corrected address ranges and fetype,3
-1,corrected address ranges and yes we know they flow the wrong way but it's accurate,4
-1,corrected address ranges and zipcodes,1
-1,Corrected ADDRESS RANGES on left (west) side of segment.,1
-1,"corrected address ranges, , Corrected FENAME + Corrected FETYPE",1
-1,"corrected address ranges, added zipl and zipr",1
-1,"corrected address ranges, also 20090303",2
-1,"corrected address ranges, also correction in 2009",1
-1,"corrected address ranges, also correction on 20100428",2
-1,"corrected address ranges, also modified 20090129",1
-1,"corrected address ranges, also modified 20090202",1
-1,"corrected address ranges, also modified 20090213",2
-1,"corrected address ranges, also modified 20090223",2
-1,"corrected address ranges, also modified 20090304",2
-1,"corrected address ranges, also modified 20090311",1
-1,"corrected address ranges, also modified 20090313",1
-1,"corrected address ranges, also modified 20090318",1
-1,"corrected address ranges, also modified 20090403",1
-1,"corrected address ranges, also modified 20090407",2
-1,"corrected address ranges, also modified 20090409",1
-1,"corrected address ranges, also modified 20090422",2
-1,"corrected address ranges, also modified 20090505",1
-1,"corrected address ranges, also modified 20090506",1
-1,"corrected address ranges, also modified 20090528",1
-1,"corrected address ranges, also modified 20090529",1
-1,"corrected address ranges, also modified 20090601",8
-1,"corrected address ranges, also modified 20090630",1
-1,"corrected address ranges, also modified 20090701",1
-1,"corrected address ranges, also modified 20090702",2
-1,"corrected address ranges, also modified 20090819",2
-1,"corrected address ranges, also modified 20090902",1
-1,"corrected address ranges, also modified 20100422",4
-1,"corrected address ranges, also modified 20100428",11
-1,"corrected address ranges, also modified 20100505",2
-1,"corrected address ranges, also modified 20110610",2
-1,"corrected address ranges, also modified 20120207",2
-1,"corrected address ranges, also modified fename on 20090304",1
-1,"corrected address ranges, also modified on 20090205",2
-1,"corrected address ranges, also modified on 20090505",1
-1,"corrected address ranges, also modify 20090126",1
-1,"corrected address ranges, also modify on 03/03/2009",1
-1,"corrected address ranges, Corrected FENAME + Added FETYPE + Added FENAME2 (SECOND REQUEST!)",9
-1,"corrected address ranges, Corrected FENAME + Corrected FENAME2",2
-1,"corrected address ranges, Corrected FENAME + Corrected FETYPE",1
-1,"corrected address ranges, Corrected FENAME + Removed FETYPE",1
-1,"corrected address ranges, Corrected FENAME/FETYPE + Corrected FENAME2/FETYPE2",1
-1,"corrected address ranges, corrected zipcode",1
-1,"corrected address ranges, modified 20090708",1
-1,"corrected address ranges, REPOSITIONED at Park Ln + Corrected FENAME/FETYPE + Corrected FENAME2/FETYPE2",1
-1,Corrected ADDRESS RANGES.,2
-1,Corrected ADDRESS RANGES. AGAIN.,6
-1,"corrected address tanges, also modified 20090122",1
-1,corrected addresses,2
-1,Corrected ADDRESSES + Corrected FETYPE + Added FENAME2/FETYPE2,3
-1,Corrected ADDRESSES + Modified FENAME,1
-1,Corrected ADDRESSES + Remove incorrect FEDIRP + Add FENAME2/FETYPE2,1
-1,Corrected ALL ADDRESS RANGES,43
-1,Corrected ALL ADDRESS RANGES + REPOSITIONED segment,1
-1,Corrected ALL ADDRESS RANGES + REPOSITIONED to proper location,1
-1,Corrected ALL ADDRESS RANGES; Corrected FETYPE,1
-1,Corrected FCC - Private Cul-de-sac (FCC = A43) + Corrected FENAME + Removed FETYPE + Corrected ADDRESS RANGES,1
-1,"Corrected FCC Code to ""A90"" (Certified, Not-Driveable) + Added ADDRESS RANGES",2
-1,Corrected FCC from A65 to A41 (named road) + Added FENAME/FETYPE + Added ADDRESSES,1
-1,Corrected FCC to ""A43"" (Private cul-de-sac) + REPOSITIONED + Corrected ADDRESS RANGES + Note TRAFALIGN,1
-1,Corrected FEDIRP,1
-1,corrected fedirp and address ranges,1
-1,"Corrected FEDIRP, FENAME, FETYPE, FEDIRP2, FENAME2, FETYPE2",8
-1,"Corrected FEDIRP, FENAME, FETYPE, FEDIRP2, FENAME2, FETYPE2, address range",2
-1,"Corrected FEDIRP, FENAME, FETYPE, FEDIRP2, FENAME2, FETYPE2, address ranges",3
-1,"Corrected FEDIRP, FENAME, FETYPE, FEDIRP2, FENAME2, FETYPE2; Corrected ALL ADDRESS RANGES",1
-1,"Corrected FEDIRP, FENAME, FETYPE, FEDIRP2, FENAME2, FETYPE2; Corrected FRADDL+FRADDR",1
-1,"Corrected FEDIRP, FENAME, FETYPE, FEDIRP2, FENAME2, FETYPE2; Corrected FRADDL+TOADDL",2
-1,"Corrected FEDIRP, FENAME, FETYPE, FEDIRP2, FENAME2, FETYPE2; Corrected FRADDL+TOADDL+TOADDR",1
-1,"Corrected FEDIRP, FENAME, FETYPE, FEDIRP2, FENAME2, FETYPE2; Corrected FRADDR",2
-1,"Corrected FEDIRP, FENAME, FETYPE, FEDIRP2, FENAME2, FETYPE2; Corrected FRADDR+TOADDR",1
-1,Corrected FEDIRP; Corrected ALL ADDRESS RANGES,5
-1,Corrected FEDIRP; Corrected FRADDL+FRADDR,1
-1,corrected fename,4
-1,corrected Fename,1
-1,Corrected FENAME,14
-1,Corrected FENAME - 2nd or 3rd time request! + Corrected ADDRESS RANGES,5
-1,Corrected FENAME - 2nd or 3rd time requesting this change!,1
-1,Corrected FENAME (""McMullan"") + Corrected ADDRESS RANGES,1
-1,Corrected FENAME (Added capital ""B"" to ""MacBeth""),1
-1,Corrected FENAME (Added capital ""B"" to ""MacBeth"") + Added ADDRESS RANGES,1
-1,Corrected FENAME (Added space and capital ""S"" to ""La Salle"") + Added ADDRESSES,1
-1,Corrected FENAME (NICHOLS not Nicholas) + Corrected ADDRESS RANGES,1
-1,Corrected FENAME (two 'n's and an apostrophe),2
-1,Corrected FENAME (Two ""L""s in Mitchell),2
-1,Corrected FENAME + Added ADDRESS RANGES,12
-1,Corrected FENAME + Added ADDRESS RANGES + REPOSITIONED to center of road,1
-1,Corrected FENAME + Added FEDIRP2/FENAME2/FETYPE2,6
-1,Corrected FENAME + Added FEDIRP2/FENAME2/FETYPE2 + Fixed ADDRESS RANGES,2
-1,Corrected FENAME + Added FENAME/FETYPE2 + Corrected ADDRESS RANGES,1
-1,Corrected FENAME + Added FENAME2 + Added FENAME3/FETYPE3 + Corrected ADDRESSES,4
-1,Corrected FENAME + Added FENAME2/FETYPE2,6
-1,Corrected FENAME + Added FENAME2/FETYPE2 + Added ADDRESS RANGES,2
-1,Corrected FENAME + Added FENAME2/FETYPE2 + Added ADDRESS RANGES + REPOSITIONED,1
-1,Corrected FENAME + Added FENAME2/FETYPE2 + Added ADDRESSES,1
-1,Corrected FENAME + Added FENAME2/FETYPE2 + Corrected ADDRESS RANGES,7
-1,Corrected FENAME + Added FENAME2/FETYPE2 + Corrected ADDRESS RANGES + REPOSITIONED,1
-1,Corrected FENAME + Added FENAME2/FETYPE2 + REPOSITIONED to center of roadway,1
-1,Corrected FENAME + Added FETYPE + Added ADDRESS RANGES,1
-1,Corrected FENAME + Added FETYPE + Added ADDRESSES,1
-1,Corrected FENAME + Added FETYPE + Added FEDIRP2/FENAME2/FETYPE2,3
-1,Corrected FENAME + Added FETYPE + Added FEDIRP2/FENAME2/FETYPE2 + Corrected ADDRESSES,2
-1,Corrected FENAME + Added FETYPE + Added FENAME2,1
-1,Corrected FENAME + Added FETYPE + Added FENAME2 (SECOND REQUEST!),39
-1,Corrected FENAME + Added FETYPE + Added FENAME2 (SECOND REQUEST!) + Added ADDRESSES,1
-1,Corrected FENAME + Added FETYPE + Added FENAME2 (SECOND REQUEST!) + Corrected ADDRESSES,1
-1,Corrected FENAME + Added FETYPE + REPOSITIONED entire segment + Added ADDRESSES,2
-1,Corrected FENAME + Added FETYPE + REPOSITONED entire segment + Added ADDRESSES,1
-1,Corrected FENAME + Corrected ADDRESS RANGES,11
-1,Corrected FENAME + Corrected FETYPE,8
-1,"Corrected FENAME + FETYPE, Added ADDRESS RANGES",2
-1,"Corrected FENAME + FETYPE, Added ADDRESSES + REPOSITIONED entire segment",3
-1,Corrected FENAME + REMOVE FEDIRP2/FENAME2/FETYPE2,1
-1,Corrected FENAME + REMOVE FETYPE,1
-1,Corrected FENAME + REMOVED FENAME2 + Added ADDRESS RANGES,1
-1,Corrected FENAME + Removed FENAME2 + Corrected ADDRESS RANGES,1
-1,Corrected FENAME + REMOVED FENAME2/FETYPE2 + Added ADDRESSES,1
-1,Corrected FENAME + Removed FETYPE,11
-1,Corrected FENAME + REMOVED FETYPE,3
-1,Corrected FENAME + Removed FETYPE + Added ADDRESS RANGES,8
-1,Corrected FENAME + REMOVED FETYPE + Added ADDRESS RANGES,2
-1,Corrected FENAME + Removed FETYPE + Added FENAME2 + Corrected ADDRESSES,2
-1,Corrected FENAME + Removed FETYPE + Added FENAME2/FETYPE2 + Corrected ADDRESSES,1
-1,Corrected FENAME + Removed FETYPE + Corrected ADDRESS RANGES,3
-1,Corrected FENAME + REMOVED FETYPE + Corrected ADDRESS RANGES,1
-1,Corrected FENAME + Removed FETYPE + Corrected ADDRESS RANGES + REPOSITIONED,1
-1,Corrected FENAME + Repositioned to proper location,2
-1,corrected fename and address ranges,2
-1,Corrected FENAME and FENAME2 + Corrected ADDRESS RANGES,1
-1,corrected Fename and Fetype,1
-1,corrected fename and fetype and address ranges,8
-1,corrected Fename and Fetype and address ranges,1
-1,corrected fename and fetype and addresses,1
-1,corrected fename and fetype and fename2,1
-1,"corrected Fename and Fetype, added address ranges",1
-1,corrected fename from Pine Tree to Pine Trail,2
-1,"Corrected FENAME, FENAME2",1
-1,"Corrected FENAME, FENAME2, and ADDRESS RANGES",4
-1,"corrected fename, fetype and address ranges",2
-1,"corrected fename, fetype, also fename2 and 3",1
-1,"Corrected FENAME, FETYPE, FENAME2 + Removed FETYPE2 + Added FENAME3, FETYPE3",2
-1,"corrected fename, fetype,fename2, fetype2 and address ranges",1
-1,"Corrected FENAME, FETYPE; Added FENAME2, FETYPE2; Corrected ALL ADDRESS RANGES",5
-1,"Corrected FENAME, FETYPE; Corrected ALL ADDRESS RANGES",3
-1,"Corrected FENAME, Removed FETYPE",2
-1,"Corrected FENAME, Removed FETYPE + FENAME2 + FETYPE2 + Added ADDRESS RANGES",1
-1,Corrected FENAME/FETYPE,10
-1,Corrected FENAME/FETYPE & FENAME2/FETYPE2 + Fixed ADDRESS RANGES,1
-1,Corrected FENAME/FETYPE + Add FENAME2/FETYPE2 + Corrected ADDRESSES + REPOSITIONED,1
-1,Corrected FENAME/FETYPE + Added ADDRESS RANGES,8
-1,Corrected FENAME/FETYPE + Added FEDIRP + Added FENAME2/FETYPE2,1
-1,Corrected FENAME/FETYPE + Added FENAME2/FETYPE2,3
-1,Corrected FENAME/FETYPE + Added FENAME2/FETYPE2 & FENAME3/FETYPE3 + Corrected ADDRESS RANGES,1
-1,Corrected FENAME/FETYPE + Added FENAME2/FETYPE2 + Added ADDRESS RANGES,2
-1,Corrected FENAME/FETYPE + Added FENAME2/FETYPE2 + Added ADDRESSES + Corrected LEGALSYS (this is a CITY MAJOR - 4),3
-1,Corrected FENAME/FETYPE + Added FENAME2/FETYPE2 + Corrected ADDRESS RANGES,4
-1,Corrected FENAME/FETYPE + ADDRESS RANGES,1
-1,Corrected FENAME/FETYPE + Corrected ADDRESS RANGES,13
-1,Corrected FENAME/FETYPE + Corrected ADDRESS RANGES + Corrected TRAFALIGN,2
-1,Corrected FENAME/FETYPE + Corrected ADDRESSES + SPLIT for address and roadname change,1
-1,Corrected FENAME/FETYPE + Corrected ADDRESSES + SPLIT for address range change,1
-1,Corrected FENAME/FETYPE + Corrected ADDRESSES + SPLIT for road name and address change,1
-1,Corrected FENAME/FETYPE + Corrected FENAME2/FETYPE2,2
-1,Corrected FENAME/FETYPE + Corrected FENAME2/FETYPE2 + Added ADDRESSES,2
-1,Corrected FENAME/FETYPE + Corrected FENAME2/FETYPE2 + REPOSITIONED to center of roadway,1
-1,Corrected FENAME/FETYPE + Deleted FENAME2/FETYPE2,1
-1,Corrected FENAME/FETYPE + FENAME2/FETYPE2 + Corrected ADDRESSES,3
-1,Corrected FENAME/FETYPE + REMOVE FENAME2/FETYPE2 + Corrected ADDRESS RANGES,2
-1,Corrected FENAME/FETYPE + REPOSITIONED segment to center of roadway,1
-1,Corrected FENAME/FETYPE ADDRESS RANGES,1
-1,Corrected FENAME/FETYPE. AGAIN,1
-1,Corrected FENAME/FETYPE. AGAIN.,8
-1,Corrected FENAME/FETYPE. AGAIN. Corrected ADDRESS RANGES. AGAIN.,7
-1,Corrected FENAME; Added FETYPE; Corrected ALL ADDRESS RANGES,1
-1,Corrected FENAME; Corrected ALL ADDRESS RANGES,2
-1,Corrected FENAME+FENAME2; Corrected ALL ADDRESS RANGES,6
-1,Corrected FENAME+FETYPE + Added FENAME2. PLEASE make these changes so this road is CONSISTENT!,17
-1,Corrected FENAME+FETYPE + Added FENAME2+FETYPE2 + Added ADDRESS RANGES,3
-1,Corrected FENAME+FETYPE + Corrected ADDRESSES + Repositioned,1
-1,"Corrected FENAME+FETYPE, Added FENAME2, Added ADDRESS RANGES",4
-1,Corrected FENAME+FETYPE; Added ADDRESS RANGES,1
-1,Corrected FENAME+FETYPE; Corrected ALL ADDRESS RANGES,3
-1,Corrected FENAME2,2
-1,Corrected FENAME2 + Added FETYPE2,3
-1,"Corrected FENAME2 + Removed FETYPE2 + Added FENAME3, FETYPE3",1
-1,Corrected FENAME2 + REMOVED FETYPE2 + REMOVED FENAME3,1
-1,Corrected FENAME2; Removed FETYPE2; This road is NOT Viaduct Rd - that is a different roadway,26
-1,corrected fetype,1
-1,Corrected FETYPE,6
-1,Corrected FETYPE & FETYPE2 (swapped the designations),2
-1,Corrected FETYPE & FETYPE2 + Corrected ADDRESS RANGES + Repositioned to center of road,2
-1,Corrected FETYPE (""St"" not ""Rd""),1
-1,Corrected FETYPE +  Corrected ADDRESS RANGES,1
-1,Corrected FETYPE + Added ADDRESS RANGE + Added TRAFALIGN,1
-1,Corrected FETYPE + Added ADDRESS RANGES,10
-1,Corrected FETYPE + Added FEDIRP2/FENAME2/FETYPE2,1
-1,"Corrected FETYPE + Added FEDIRP2/FENAME2/FETYPE2, corrected address ranges",2
-1,Corrected FETYPE + Added FENAME2/FETYPE2,6
-1,Corrected FETYPE + Added FENAME2/FETYPE2 + Corrected ADDRESSES,1
-1,Corrected FETYPE + corrected address ranges,1
-1,Corrected FETYPE + Corrected ADDRESS RANGES,2
-1,Corrected FETYPE + FETYPE2 + REPOSITION at east end (at Second St),1
-1,Corrected FETYPE + Removed FENAME2/FETYPE2 + Added ADDRESS RANGES + EXTENDED segment to the west,1
-1,Corrected FETYPE + Removed FENAME2/FETYPE2 + Corrected ADDRESS RANGES,2
-1,corrected fetype and address ranges,1
-1,Corrected FETYPE to ""AVE"" and FETYPE2 to ""ST"" (Swapped them.),1
-1,Corrected FETYPE to ""AVE"" and FETYPE2 to ""ST"" (Swapped them.) + Fixed ADDRESS RANGES,4
-1,"corrected Fetype to Ln, corrected address ranges",3
-1,Corrected FETYPE to ST.,2
-1,"corrected FETYPE, added address range",1
-1,Corrected FETYPE. AGAIN.,3
-1,Corrected FETYPE. AGAIN. Corrected ADDRESS RANGES. AGAIN.,2
-1,Corrected FETYPE; Removed FENAME2+FETYPE2; Added ALL ADDRESS RANGES,1
-1,corrected Fetype2,1
-1,"corrected fmcdl, 20120530 Corrected ADDRESS RANGES",2
-1,"Corrected fmcdl,Split for Corporate Boundary, Corrected all ADDRESS RANGES, Corrected FENAME+FETYPE",1
-1,"corrected fmcdr, 20120530 Added ADDRESS RANGES",1
-1,corrected FRADDL,1
-1,"corrected FRADDL and FRADDR, 20130104 REPOSITIONED to center of roadway",1
-1,Corrected FRADDL+FRADDR,1
-1,Corrected FRADDL+TOADDL,4
-1,corrected fraddr and fraddl 20141015REPOSITIONED segment to center of realigned roadway,1
-1,"corrected fraddr and toaddl, 20141015 REPOSITIONED to center of roadway",1
-1,Corrected FRADDR+TOADDR,4
-1,Corrected LEGALSYSTEM - This is a COUNTY LOCAL road (""3"") and NOT a Primary (""2""). Verified through Larry Brown at ACRC.,5
-1,Corrected LEGALSYSTEM (from 3 to 2) - VERIFIED it's a COUNTY PRIMARY road thorugh ACRC.,5
-1,corrected range,2
-1,corrected ranges,10
-1,"corrected ranges, Corrected FENAME + Removed FETYPE",2
-1,"corrected roadname from 136th to 146th , 20130322 Added ADDRESS RANGES",2
-1,"corrected roadname, added address range",1
-1,corrected streetname to Harbors Lake Dr from Harbor Lake Dr,2
-1,corrected to Geneva lake Dr,1
-1,Corrected TOADDL+TOADDR,2
-1,corrected toaddr 20141015REPOSITIONED segment to center of realigned roadway + Corrected ADDRESS RANGES,1
-1,corrected TOADDR from 0 to 7164,1
-1,"corrected toaddr, REMOVED FENAME2/FETYPE2",1
-1,Corrected TOADDR+TOADDRL,1
-1,corrrected address ranges,2
-1,"Cutoff was OBLITERATED in 2010-11. If still certified, needs to have FCC = A90. If not certified, please DELETE.",1
-1,DELETE - actual Paradise Ln is already in the layer .25 mile to the South.,1
-1,DELETE - DUPLICATE SEGMENT of 19th St to the west (same certified length and all). Verify with ACRC if needed.,1
